"","science","kurzgesagt","love","videos","power","future","lot","video","humanity","hope","live","climate","change","people","money","earth","nuclear","feel","electric","cars","bad","global","warming","gas","coal","solar","wind","countries","plants","carbon","channel","country","energy","time","humans","fossil","fuels","life","green","human","planet","real","oil","technology","emissions","fuel","water","kids","china","news"
"science",605,29,25,40,45,46,41,88,22,48,25,279,226,138,38,79,32,20,11,13,34,92,67,24,11,40,17,25,27,45,60,13,67,77,38,54,24,45,28,45,70,50,15,45,37,38,49,7,12,15
"kurzgesagt",29,1564,118,132,41,120,67,545,66,243,24,259,255,153,17,27,39,82,23,24,53,45,20,20,23,29,24,32,11,32,76,30,68,101,22,49,24,47,39,20,29,45,18,23,34,37,13,40,12,66
"love",25,118,966,152,49,61,42,231,26,104,26,168,183,117,30,37,40,46,29,38,30,37,23,20,19,37,21,27,26,40,102,17,58,58,33,34,16,41,30,24,41,38,16,25,31,30,16,14,9,35
"videos",40,132,152,885,32,60,56,213,29,102,27,226,223,155,13,27,46,53,16,24,45,36,19,15,12,26,24,25,16,41,79,15,54,77,18,33,19,30,23,21,28,47,15,24,26,21,10,11,10,65
"power",45,41,49,32,1356,124,136,198,58,96,49,312,338,364,137,81,551,40,118,108,112,99,59,127,192,297,239,127,253,121,26,72,375,177,46,197,127,89,135,68,106,67,90,98,102,158,81,24,79,22
"future",46,120,61,60,124,1519,116,422,131,392,108,433,448,339,65,94,116,143,59,71,90,83,52,54,60,89,58,72,43,81,36,49,168,157,60,85,51,137,81,78,127,74,44,79,71,67,44,113,20,37
"lot",41,67,42,56,136,116,1062,268,54,140,54,313,314,314,96,65,118,82,74,81,88,59,41,53,61,117,79,91,63,107,31,56,174,149,54,95,52,79,70,46,75,63,50,67,103,87,51,37,38,43
"video",88,545,231,213,198,422,268,5168,155,759,119,1174,1106,705,114,149,201,310,118,106,298,191,93,103,113,147,103,203,71,205,214,89,295,312,93,202,115,264,147,115,158,193,97,119,184,140,65,122,62,252
"humanity",22,66,26,29,58,131,54,155,897,146,62,288,279,194,45,67,41,51,17,18,58,57,37,11,23,33,13,46,17,24,18,12,62,101,56,43,17,77,35,51,82,32,15,32,27,28,25,22,13,36
"hope",48,243,104,102,96,392,140,759,146,2549,134,570,562,451,69,98,65,158,40,42,109,82,46,42,39,53,36,68,24,72,73,63,119,210,54,86,38,169,51,68,128,87,46,63,64,76,38,92,19,120
"live",25,24,26,27,49,108,54,119,62,134,795,248,246,242,45,74,23,54,38,40,61,69,43,29,37,47,20,55,17,42,11,72,74,112,52,39,24,143,42,61,89,50,22,34,40,31,34,45,25,31
"climate",279,259,168,226,312,433,313,1174,288,570,248,5819,4469,1188,261,407,269,255,155,162,342,455,301,236,160,213,126,282,108,328,184,137,407,504,340,339,199,396,224,284,392,388,182,193,255,219,222,149,139,377
"change",226,255,183,223,338,448,314,1106,279,562,246,4469,5568,1213,284,391,247,262,182,180,311,399,261,222,153,217,131,282,113,318,142,140,423,497,314,329,199,400,218,283,386,388,178,209,260,215,211,138,132,289
"people",138,153,117,155,364,339,314,705,194,451,242,1188,1213,3739,293,255,235,233,183,186,288,260,156,127,140,193,121,272,114,213,96,139,376,414,156,266,148,250,198,193,301,215,165,156,196,191,128,179,85,110
"money",38,17,30,13,137,65,96,114,45,69,45,261,284,293,810,79,64,37,61,57,60,63,50,39,54,86,45,71,39,69,23,43,150,125,35,98,62,67,90,46,109,55,81,47,65,71,36,21,34,22
