"","fossil","oil","power","climate","people","sea","video","ice","age","humans","change","science","water","agree","scientists","real","stossel","natural","earth","global","warming","solar","human","truth","carbon","atmosphere","heat","gas","increase","levels","john","planet","life","money","government","time","ocean","temperature","cold","control","air","energy","level","wrong","weather","tax","green","scientist","scientific","sun"
"fossil",184,31,25,71,48,11,8,31,15,22,64,30,25,10,34,25,12,19,37,46,46,35,30,12,25,33,22,21,24,13,22,22,24,29,22,38,15,22,20,9,18,66,12,15,19,18,23,16,29,12
"oil",31,185,21,80,51,8,14,35,22,13,73,28,27,7,30,26,16,19,38,51,50,29,19,8,25,23,21,44,16,9,16,31,23,45,17,35,11,16,13,13,20,45,6,13,16,16,16,17,20,16
"power",25,21,181,66,52,6,6,17,11,13,50,20,25,5,27,16,2,12,27,35,30,34,15,6,12,17,8,16,16,12,7,20,14,47,26,21,8,11,6,19,17,50,6,10,14,16,21,6,15,6
"climate",71,80,66,1794,340,75,80,182,102,142,1274,213,133,98,234,181,92,91,224,313,325,73,130,88,124,97,79,71,84,80,90,173,90,198,110,146,67,107,83,114,69,93,50,85,140,59,75,87,101,62
"people",48,51,52,340,882,43,40,89,47,66,296,107,90,46,100,83,44,51,136,164,177,42,56,48,83,57,70,51,49,42,44,102,60,146,73,102,43,54,64,55,57,64,39,39,67,42,45,45,49,39
"sea",11,8,6,75,43,214,6,68,24,24,65,27,53,11,27,15,8,15,24,53,59,12,16,7,15,18,14,13,30,78,7,15,18,14,9,42,29,30,16,4,13,11,95,17,25,5,10,6,11,8
"video",8,14,6,80,40,6,226,13,8,7,65,24,8,13,21,17,23,6,14,37,42,6,10,17,11,8,10,7,4,1,23,13,8,19,8,18,8,13,11,4,5,10,5,10,11,4,7,15,13,5
"ice",31,35,17,182,89,68,13,459,211,48,141,58,94,21,64,38,13,40,108,134,162,43,31,16,43,43,38,26,43,63,28,65,37,32,23,69,48,67,41,23,23,33,37,21,41,10,29,18,28,33
"age",15,22,11,102,47,24,8,211,238,28,77,31,15,7,34,19,8,20,51,82,107,25,20,8,23,21,16,13,15,24,15,34,18,16,13,38,9,31,23,12,5,14,11,8,18,8,12,9,16,17
"humans",22,13,13,142,66,24,7,48,28,265,109,33,34,26,42,23,10,29,79,71,83,18,42,9,37,45,22,30,32,37,13,56,36,17,9,41,12,20,15,18,20,15,17,12,23,3,14,14,22,19
"change",64,73,50,1274,296,65,65,141,77,109,1384,155,110,70,163,156,65,75,175,272,255,58,105,78,98,75,64,54,67,59,71,130,72,169,98,120,55,93,71,79,57,84,41,70,112,54,58,65,85,48
"science",30,28,20,213,107,27,24,58,31,33,155,504,48,39,97,68,30,25,77,121,117,28,52,27,33,49,29,28,30,29,32,53,26,52,25,58,21,39,24,26,28,30,19,37,36,14,25,49,84,24
"water",25,27,25,133,90,53,8,94,15,34,110,48,349,26,44,39,13,23,77,81,88,25,41,13,49,46,34,42,41,49,16,50,31,33,14,62,55,41,29,21,54,35,45,10,29,13,19,19,27,16
"agree",10,7,5,98,46,11,13,21,7,26,70,39,26,222,88,34,22,5,30,55,58,9,11,8,20,8,5,11,15,12,18,28,11,25,18,21,11,12,8,11,7,15,4,11,12,8,9,27,22,3
"scientists",34,30,27,234,100,27,21,64,34,42,163,97,44,88,495,63,35,21,83,135,135,28,38,25,45,36,21,23,25,28,30,54,29,79,46,58,21,36,19,13,15,43,18,38,35,23,25,48,64,17
"real",25,26,16,181,83,15,17,38,19,23,156,68,39,34,63,367,23,21,55,100,95,25,30,33,35,21,17,13,17,19,26,40,24,49,26,39,16,26,19,28,13,33,12,22,28,19,17,32,38,17
"stossel",12,16,2,92,44,8,23,13,8,10,65,30,13,22,35,23,299,9,20,32,43,7,9,21,9,9,14,8,8,6,128,17,10,18,10,17,9,16,14,3,6,12,4,20,14,8,10,17,16,7
"natural",19,19,12,91,51,15,6,40,20,29,75,25,23,5,21,21,9,181,62,57,70,21,35,9,25,20,22,25,27,14,18,30,24,16,12,31,17,32,18,21,16,23,13,16,18,7,12,16,16,17
"earth",37,38,27,224,136,24,14,108,51,79,175,77,77,30,83,55,20,62,582,133,167,44,79,21,64,92,55,43,47,47,26,87,80,47,19,94,30,65,41,32,47,48,25,31,47,15,37,28,45,69
"global",46,51,35,313,164,53,37,134,82,71,272,121,81,55,135,100,32,57,133,873,722,63,79,31,87,80,56,50,67,52,42,100,59,108,64,96,44,95,56,50,41,67,30,38,77,39,48,52,65,44
"warming",46,50,30,325,177,59,42,162,107,83,255,117,88,58,135,95,43,70,167,722,928,65,85,33,85,89,67,54,63,62,53,138,60,100,50,95,54,88,74,44,47,58,36,33,75,32,41,57,64,55
"solar",35,29,34,73,42,12,6,43,25,18,58,28,25,9,28,25,7,21,44,63,65,220,22,6,29,25,24,26,21,9,22,31,19,26,16,31,12,24,18,11,13,70,7,12,12,18,18,11,14,36
"human",30,19,15,130,56,16,10,31,20,42,105,52,41,11,38,30,9,35,79,79,85,22,230,12,37,50,20,23,37,32,19,43,38,16,10,37,17,26,18,17,27,32,16,13,28,7,19,15,36,21
"truth",12,8,6,88,48,7,17,16,8,9,78,27,13,8,25,33,21,9,21,31,33,6,12,236,15,4,9,6,4,8,28,12,10,26,14,31,10,11,12,14,8,9,5,15,24,8,5,15,14,10
"carbon",25,25,12,124,83,15,11,43,23,37,98,33,49,20,45,35,9,25,64,87,85,29,37,15,327,64,30,42,37,31,15,46,58,35,26,40,22,30,17,19,35,44,18,17,23,41,25,20,16,17
"atmosphere",33,23,17,97,57,18,8,43,21,45,75,49,46,8,36,21,9,20,92,80,89,25,50,4,64,224,44,40,39,43,14,49,38,17,10,41,26,39,25,14,33,31,22,11,21,10,21,18,29,29
"heat",22,21,8,79,70,14,10,38,16,22,64,29,34,5,21,17,14,22,55,56,67,24,20,9,30,44,205,22,26,14,15,39,23,15,7,40,22,40,78,11,26,32,11,15,32,5,16,18,17,29
