"","temperature","rise","degrees","climate","change","caused","time","warmed","global","warming","carbon","scientists","cooling","water","earth","petm","warmer","planet","oceans","video","land","warm","ocean","levels","ice","age","atmosphere","humans","human","people","methane","period","happened","science","species","sun","temperatures","current","life","sea","cold","natural","times","earths","plants","heat","greenhouse","cycles","hot","solar"
"temperature",409,60,57,107,88,42,75,18,125,119,49,23,51,47,97,25,40,54,37,44,22,42,40,48,81,48,59,38,28,22,14,46,15,31,12,54,61,37,34,31,28,24,30,43,20,20,34,32,31,33
"rise",60,176,17,51,36,20,34,5,51,61,25,7,10,34,42,12,17,18,23,6,26,15,19,44,42,16,23,22,27,21,8,13,3,15,9,14,34,19,19,49,10,11,11,23,11,10,12,15,3,13
"degrees",57,17,180,38,36,13,38,15,51,45,13,10,11,18,47,3,29,10,12,8,6,25,16,10,33,20,16,16,18,18,8,22,10,11,6,13,21,15,22,14,13,9,12,15,4,10,13,7,21,5
"climate",107,51,38,1115,613,93,180,44,193,255,106,66,81,60,252,35,70,110,46,72,48,72,40,66,158,92,88,156,121,126,23,86,40,95,47,112,71,65,104,55,45,83,53,87,28,38,50,68,40,61
"change",88,36,36,613,840,70,123,30,150,188,78,34,49,38,187,21,39,91,27,51,33,45,36,48,104,69,52,119,101,100,15,61,30,69,46,73,48,47,100,35,36,76,41,54,20,23,25,47,23,42
"caused",42,20,13,93,70,316,63,17,95,144,40,20,35,16,72,17,16,27,19,23,16,25,16,17,50,33,24,55,48,25,10,30,13,19,8,27,27,19,27,14,13,24,24,22,9,16,20,14,8,20
"time",75,34,38,180,123,63,840,136,120,193,69,27,44,46,211,33,42,79,32,56,59,64,33,48,119,79,50,83,70,76,20,98,50,35,56,52,57,54,93,38,31,30,47,49,30,36,31,27,31,33
"warmed",18,5,15,44,30,17,136,259,31,67,17,8,18,13,129,3,20,36,18,17,12,26,14,5,44,36,12,25,23,18,5,33,9,11,5,19,11,14,28,7,15,11,21,8,2,7,8,10,5,6
"global",125,51,51,193,150,95,120,31,1036,840,90,45,107,50,169,33,57,89,42,64,30,61,41,57,156,91,71,118,68,89,23,72,46,59,29,59,86,64,75,43,40,55,38,52,22,28,43,44,34,40
"warming",119,61,45,255,188,144,193,67,840,1428,141,65,176,71,306,47,74,134,67,91,46,87,58,76,237,149,100,151,98,123,41,137,54,73,48,117,82,95,105,55,60,82,55,71,44,41,58,72,31,75
"carbon",49,25,13,106,78,40,69,17,90,141,539,21,35,43,106,27,33,59,35,37,23,35,37,41,58,30,120,51,31,35,41,31,17,28,14,38,28,18,50,17,13,24,27,34,53,25,34,22,8,27
"scientists",23,7,10,66,34,20,27,8,45,65,21,186,22,11,52,5,15,23,13,17,2,9,6,10,38,27,19,20,13,30,6,16,6,24,2,22,14,11,17,5,6,7,11,11,6,12,16,12,6,14
