"","desert","nature","change","life","people","time","natural","carbon","idea","deserts","green","live","global","warming","water","food","earth","elephants","land","talk","plant","planet","climate","human","guy","video","cattle","desertification","animals","wrong","hope","science","humans","meat","grazing","trees","grow","soil","solution","feed","animal","plants","savory","grass","holistic","eat","livestock","management","methane","cows"
"desert",744,39,90,49,146,86,47,34,67,104,113,46,28,16,128,41,59,32,216,43,74,49,102,31,21,55,110,77,155,26,54,27,41,23,63,78,98,120,31,70,28,109,33,91,18,44,56,24,21,36
"nature",39,734,84,63,150,80,81,39,33,37,32,52,33,22,67,65,59,74,135,42,29,68,69,89,23,30,58,55,168,34,32,56,105,37,69,30,30,68,63,29,50,50,52,64,32,43,85,34,36,39
"change",90,84,1429,67,278,165,105,141,57,108,108,87,165,103,114,86,152,84,191,110,69,123,1105,126,41,126,91,151,173,73,57,117,128,62,95,70,47,134,119,42,78,78,92,43,94,49,114,106,66,51
"life",49,63,67,535,118,78,47,49,15,47,42,54,40,18,64,54,80,48,108,36,79,73,79,47,12,31,38,46,109,38,22,35,43,29,45,37,33,77,42,22,36,71,34,40,31,32,54,37,26,18
"people",146,150,278,118,1731,230,99,115,133,84,101,106,120,68,159,146,160,139,347,138,110,162,262,122,64,122,181,126,290,108,136,109,126,139,117,83,135,176,121,143,87,158,127,147,102,137,150,110,59,90
"time",86,80,165,78,230,864,64,90,81,35,45,68,76,40,102,72,76,98,244,74,84,73,132,99,31,98,143,70,207,69,83,100,87,39,107,50,84,156,80,83,77,105,73,120,107,44,80,109,40,37
"natural",47,81,105,47,99,64,487,64,35,46,30,27,36,26,62,63,63,26,130,34,34,56,112,71,15,28,68,52,130,31,14,28,59,40,82,45,37,66,41,37,37,66,38,54,33,38,74,37,49,52
"carbon",34,39,141,49,115,90,64,612,29,40,55,25,82,56,107,72,71,12,124,38,80,68,157,45,18,34,74,46,93,42,23,57,37,42,89,61,44,165,58,33,37,112,61,82,50,36,84,44,122,56
"idea",67,33,57,15,133,81,35,29,471,36,31,26,30,20,43,28,41,52,103,40,63,32,55,25,19,47,86,32,122,31,57,32,32,27,41,15,60,74,28,65,17,63,27,79,21,32,38,29,41,38
"deserts",104,37,108,47,84,35,46,40,36,553,128,25,49,31,80,28,57,20,101,41,43,59,125,37,17,21,27,54,59,21,17,23,41,26,30,46,34,41,29,19,21,54,33,38,10,17,49,19,11,8
"green",113,32,108,42,101,45,30,55,31,128,521,34,37,28,69,24,73,20,107,21,45,64,113,26,12,43,42,39,78,18,14,19,32,21,25,48,33,51,32,16,7,73,26,36,9,21,38,14,20,15
"live",46,52,87,54,106,68,27,25,26,25,34,398,29,18,44,36,43,65,116,29,29,46,55,58,13,56,27,34,121,17,25,39,78,29,25,27,45,71,57,27,54,42,18,39,41,42,37,49,20,28
"global",28,33,165,40,120,76,36,82,30,49,37,29,563,311,68,49,59,18,82,53,41,52,191,56,22,28,57,121,58,17,30,58,42,21,41,30,20,63,37,15,22,42,34,28,63,15,65,66,51,21
"warming",16,22,103,18,68,40,26,56,20,31,28,18,311,363,33,18,66,10,37,17,23,46,115,38,16,11,30,31,27,11,12,34,23,10,15,20,15,25,26,9,1,25,15,9,8,10,31,6,33,13
"water",128,67,114,64,159,102,62,107,43,80,69,44,68,33,767,127,82,27,235,37,101,65,124,60,24,54,94,74,168,31,21,41,51,44,94,99,103,184,41,54,67,144,54,130,54,56,95,64,46,55
"food",41,65,86,54,146,72,63,72,28,28,24,36,49,18,127,516,52,20,146,29,66,55,89,62,12,44,91,47,167,18,24,36,62,77,80,33,71,102,45,59,66,70,48,87,39,92,93,38,46,59
"earth",59,59,152,80,160,76,63,71,41,57,73,43,59,66,82,52,747,54,103,39,49,118,161,77,20,35,42,43,85,28,27,44,88,35,27,47,35,46,33,20,21,84,25,35,10,32,34,12,32,24
"elephants",32,74,84,48,139,98,26,12,52,20,20,65,18,10,27,20,54,1163,132,40,25,56,65,75,138,80,60,70,159,110,24,76,76,30,39,30,20,47,100,13,58,32,40,41,35,26,65,43,22,31
