"","cold","sea","gas","temperature","global","warming","earth","energy","increase","water","climate","change","people","live","real","planet","sun","weather","lot","money","human","future","ice","age","caused","heat","air","atmosphere","warmer","time","levels","video","humans","carbon","day","rise","degrees","life","population","temperatures","happen","science","scientists","level","power","emissions","countries","china","fossil","pollution"
"cold",143,6,24,15,32,35,42,6,3,29,53,36,22,15,7,36,9,22,6,4,23,7,41,14,5,16,24,24,15,37,8,23,7,5,26,5,16,26,2,14,4,9,7,3,3,4,4,2,2,20
"sea",6,166,3,17,43,33,22,4,9,37,46,25,35,12,12,16,3,12,4,5,7,8,33,12,7,13,7,3,9,17,60,7,9,14,2,50,13,14,6,9,4,6,10,73,7,8,8,3,15,2
"gas",24,3,153,17,46,42,52,23,12,31,66,59,34,8,15,52,7,3,5,9,37,8,33,11,17,13,28,40,4,35,19,22,18,20,27,9,13,35,9,10,5,17,14,5,17,39,12,10,15,31
"temperature",15,17,17,330,112,75,73,10,48,22,85,72,43,17,13,48,22,26,12,10,28,8,55,32,28,39,12,30,22,45,31,18,28,29,12,53,66,19,14,38,16,23,20,26,6,20,12,6,18,5
"global",32,43,46,112,895,658,147,48,30,50,231,170,171,34,78,105,35,50,28,35,63,34,98,63,76,51,30,40,40,82,69,33,75,66,22,55,66,72,48,67,24,65,58,37,34,63,54,26,46,36
"warming",35,33,42,75,658,821,160,40,30,42,188,132,151,32,70,110,38,51,23,36,71,28,90,61,80,40,25,40,39,73,58,29,72,49,29,37,57,69,25,36,20,55,51,34,31,55,49,14,42,29
"earth",42,22,52,73,147,160,625,36,38,58,191,143,115,35,49,136,62,39,18,32,84,22,98,54,49,44,38,52,46,87,61,27,79,39,29,35,46,123,27,23,21,37,42,20,24,36,28,12,27,50
"energy",6,4,23,10,48,40,36,198,14,17,64,65,52,14,12,40,18,6,11,18,20,19,13,6,7,26,15,19,11,22,16,5,13,28,11,10,12,15,19,12,10,15,13,2,31,29,26,19,30,11
"increase",3,9,12,48,30,30,38,14,147,20,46,40,33,8,8,23,7,10,6,5,20,10,16,6,9,14,4,18,11,19,25,10,6,19,5,22,31,16,16,19,9,15,9,11,2,18,11,4,8,2
"water",29,37,31,22,50,42,58,17,20,273,77,71,56,15,7,52,16,14,11,12,34,14,57,18,9,24,40,39,15,41,29,29,16,21,26,27,19,33,15,18,11,24,10,27,17,9,14,12,19,29
"climate",53,46,66,85,231,188,191,64,46,77,1268,809,252,52,106,148,50,82,45,63,117,54,104,53,77,64,46,65,54,124,76,74,85,74,46,50,62,111,69,58,37,95,85,45,47,82,83,33,64,60
"change",36,25,59,72,170,132,143,65,40,71,809,1019,207,48,88,120,38,59,33,58,95,57,78,35,50,47,45,52,25,107,47,67,65,57,50,36,51,79,67,44,31,68,48,28,41,60,76,33,59,49
"people",22,35,34,43,171,151,115,52,33,56,252,207,915,64,54,117,21,38,43,61,80,52,39,27,40,48,24,24,30,89,49,41,59,45,31,33,45,64,72,34,32,49,49,31,49,47,72,29,47,37
"live",15,12,8,17,34,32,35,14,8,15,52,48,64,263,9,33,3,17,16,10,18,17,9,7,13,14,7,7,14,24,10,6,25,14,11,12,21,30,19,19,9,4,6,12,10,12,15,6,9,13
"real",7,12,15,13,78,70,49,12,8,7,106,88,54,9,236,23,9,13,4,15,28,10,11,8,18,11,7,8,7,28,23,20,19,10,10,13,14,52,15,10,7,25,21,8,14,18,15,4,14,16
"planet",36,16,52,48,105,110,136,40,23,52,148,120,117,33,23,520,25,27,20,30,99,29,85,40,40,38,36,53,30,72,44,32,83,35,38,25,30,80,30,28,17,24,42,17,23,36,24,12,29,42
"sun",9,3,7,22,35,38,62,18,7,16,50,38,21,3,9,25,161,11,9,10,10,5,28,21,9,22,9,18,9,22,8,6,13,15,8,11,11,8,2,11,4,12,14,6,3,10,5,3,4,7
"weather",22,12,3,26,50,51,39,6,10,14,82,59,38,17,13,27,11,234,11,12,17,12,25,17,11,22,10,9,16,28,13,8,14,13,11,12,20,10,9,21,12,20,14,14,8,7,11,6,10,7
"lot",6,4,5,12,28,23,18,11,6,11,45,33,43,16,4,20,9,11,154,10,11,5,17,10,11,10,5,7,4,18,8,9,7,9,6,7,15,7,3,11,4,12,8,6,6,10,15,10,18,7
"money",4,5,9,10,35,36,32,18,5,12,63,58,61,10,15,30,10,12,10,201,13,11,12,8,3,7,9,6,8,13,6,4,7,11,8,4,12,15,7,10,5,15,10,5,20,6,14,6,16,8
"human",23,7,37,28,63,71,84,20,20,34,117,95,80,18,28,99,10,17,11,13,337,22,38,15,38,17,28,33,13,53,36,28,49,15,27,18,18,61,40,17,18,21,29,10,19,25,14,4,17,41
"future",7,8,8,8,34,28,22,19,10,14,54,57,52,17,10,29,5,12,5,11,22,203,11,9,7,8,8,5,5,35,9,9,20,10,8,9,12,23,19,11,11,15,11,8,10,10,12,7,15,5
