"","climate","change","fucking","earth","sea","level","wrong","levels","rise","scam","weather","life","planet","truth","carbon","real","scientists","government","water","lol","dan","time","love","pena","global","people","woman","ice","money","rich","shit","argument","human","warming","banks","scientific","science","children","age","oil","true","guy","humans","stupid","care","idiot","question","fuck","evidence","temperature"
"climate",1740,1338,74,250,134,98,96,101,105,108,97,84,185,70,102,275,250,89,110,47,86,196,44,72,481,412,22,150,239,82,82,105,140,450,213,122,222,40,93,96,91,143,134,90,79,59,67,43,117,118
"change",1338,1516,65,232,126,88,72,83,97,106,92,78,162,60,90,250,187,77,93,45,77,171,42,60,446,383,23,124,218,79,71,100,119,415,196,101,169,39,78,83,89,113,107,74,69,52,61,44,101,99
"fucking",74,65,421,27,17,10,13,14,17,24,17,24,37,9,12,56,33,7,14,10,35,31,16,29,112,79,12,21,47,14,50,17,19,108,42,22,26,14,10,17,7,60,18,39,8,44,8,59,14,9
"earth",250,232,27,913,77,51,51,60,67,54,58,83,171,43,80,91,72,37,89,29,35,140,26,31,292,207,19,122,104,38,51,38,75,309,66,39,82,21,100,43,48,64,114,44,45,31,36,29,36,79
"sea",134,126,17,77,415,210,27,143,187,27,21,32,58,19,18,65,43,22,75,15,22,69,7,24,150,85,6,78,68,21,29,38,34,146,99,18,39,11,28,14,23,36,24,15,30,15,14,16,26,37
"level",98,88,10,51,210,331,15,38,136,14,16,20,38,13,14,36,39,18,82,7,14,54,6,16,97,73,10,62,41,15,17,26,21,87,53,16,29,6,16,8,13,26,18,15,19,13,15,12,18,30
"wrong",96,72,13,51,27,15,342,16,23,23,11,20,30,14,18,37,40,11,23,16,27,40,12,28,77,72,6,28,56,13,16,25,14,87,66,20,43,8,19,10,13,42,16,10,23,15,18,20,13,20
"levels",101,83,14,60,143,38,16,303,97,27,11,31,57,10,28,53,30,12,64,13,17,58,8,15,115,64,2,72,47,9,24,23,31,118,51,27,43,5,31,15,20,27,35,15,23,10,16,10,28,38
"rise",105,97,17,67,187,136,23,97,345,15,16,24,45,19,22,52,34,18,78,12,17,59,8,26,134,80,7,59,52,18,26,30,35,117,76,18,31,6,28,12,19,27,19,16,28,14,19,20,27,53
"scam",108,106,24,54,27,14,23,27,15,492,23,17,50,17,36,54,38,35,17,9,25,37,13,28,245,101,14,22,95,20,27,15,17,241,45,20,36,8,12,21,27,40,13,20,19,18,15,19,23,16
"weather",97,92,17,58,21,16,11,11,16,23,255,17,40,12,18,32,40,12,21,8,4,32,11,8,110,70,2,24,33,8,13,7,19,109,14,10,33,5,17,8,12,14,22,8,15,9,5,13,13,31
"life",84,78,24,83,32,20,20,31,24,17,17,313,74,15,28,53,36,13,34,11,11,64,20,8,98,97,10,37,43,17,20,13,36,96,19,22,31,17,32,19,17,27,41,17,29,10,17,11,14,17
"planet",185,162,37,171,58,38,30,57,45,50,40,74,725,28,50,87,68,31,57,32,37,114,21,31,225,199,21,75,107,38,48,27,75,229,58,44,64,26,66,41,27,77,88,33,51,22,29,35,34,50
"truth",70,60,9,43,19,13,14,10,19,17,12,15,28,282,13,40,30,12,13,7,15,36,13,16,75,75,8,21,45,11,13,18,17,73,30,21,28,7,11,10,18,19,14,10,12,1,7,7,10,23
"carbon",102,90,12,80,18,14,18,28,22,36,18,28,50,13,290,30,35,26,29,11,15,43,6,14,96,73,8,41,37,15,18,10,25,98,20,20,32,3,27,20,10,8,31,12,7,15,24,6,20,31
"real",275,250,56,91,65,36,37,53,52,54,32,53,87,40,30,818,99,28,46,23,48,94,25,43,362,215,18,67,136,46,70,54,54,359,122,47,80,15,29,41,37,84,57,41,51,30,29,50,50,35
"scientists",250,187,33,72,43,39,40,30,34,38,40,36,68,30,35,99,612,35,31,19,32,71,12,33,218,162,9,65,114,32,46,41,39,209,90,70,80,7,37,36,41,63,44,29,29,25,27,25,62,37
"government",89,77,7,37,22,18,11,12,18,35,12,13,31,12,26,28,35,255,17,9,5,35,6,7,99,90,6,12,67,14,13,16,10,89,44,15,25,9,10,27,20,19,14,16,22,4,10,18,10,10
"water",110,93,14,89,75,82,23,64,78,17,21,34,57,13,29,46,31,17,457,11,15,62,8,17,146,118,11,82,62,26,25,23,20,156,53,21,35,11,23,24,25,25,20,21,24,15,15,15,14,37
"lol",47,45,10,29,15,7,16,13,12,9,8,11,32,7,11,23,19,9,11,422,21,23,18,9,70,58,4,17,37,13,33,20,7,69,33,10,23,15,11,9,12,37,11,12,10,8,8,15,7,4
"dan",86,77,35,35,22,14,27,17,17,25,4,11,37,15,15,48,32,5,15,21,528,41,36,263,92,73,21,16,60,16,41,20,16,88,56,17,36,12,10,13,17,29,13,24,9,28,23,39,16,13
