"","climate","change","real","government","people","science","global","warming","natural","humans","lot","planet","heat","water","energy","fossil","carbon","atmosphere","greenhouse","gas","levels","money","ice","wrong","earth","plants","video","scientists","life","time","data","green","sea","weather","sun","exxon","oil","scientific","companies","human","age","temperature","lie","nuclear","power","fuels","evidence","emissions","true","solar"
"climate",2593,2015,346,102,515,319,453,493,172,235,90,225,103,140,173,153,163,157,124,105,127,165,248,127,366,84,238,278,145,219,126,137,113,146,121,110,186,145,119,198,156,131,194,56,93,120,147,106,110,75
"change",2015,2182,314,90,458,236,394,395,129,202,77,185,85,106,146,137,134,116,100,82,97,150,187,103,317,68,209,208,120,179,94,111,94,118,94,99,163,122,102,155,117,101,174,47,86,110,119,89,92,60
"real",346,314,578,34,142,104,167,167,45,56,24,65,18,42,49,29,46,36,25,29,40,52,58,31,105,31,49,73,56,66,39,33,30,39,31,23,51,46,29,44,41,40,37,14,32,22,37,23,30,22
"government",102,90,34,210,78,36,60,57,21,22,16,33,8,17,34,13,24,13,10,15,22,36,25,12,42,13,23,33,22,30,17,30,15,15,12,9,26,19,19,20,15,17,16,16,30,12,13,15,15,19
"people",515,458,142,78,1194,147,230,231,56,86,94,137,45,82,118,92,89,56,44,59,56,141,90,74,179,54,115,113,92,134,56,75,57,60,48,45,105,69,87,78,46,58,74,36,73,66,64,43,63,51
"science",319,236,104,36,147,649,144,149,28,44,34,76,20,42,50,41,55,52,45,33,48,48,67,58,110,24,81,108,46,74,66,43,31,34,30,43,49,95,34,49,45,52,48,8,26,26,60,28,47,32
"global",453,394,167,60,230,144,1116,929,84,111,52,126,68,89,80,78,83,86,76,60,73,89,164,72,208,51,109,124,75,120,60,69,70,58,57,53,85,79,46,104,105,120,96,32,45,55,56,65,54,41
"warming",493,395,167,57,231,149,929,1192,102,117,51,152,70,94,77,84,75,106,83,63,78,82,188,73,249,59,111,127,85,134,76,66,74,66,65,62,86,80,43,114,126,108,92,35,43,66,69,61,53,43
"natural",172,129,45,21,56,28,84,102,280,60,18,55,25,27,41,39,43,54,40,47,34,13,53,18,87,34,28,35,33,45,17,24,29,26,27,8,30,21,18,64,34,40,17,18,23,31,20,24,19,20
"humans",235,202,56,22,86,44,111,117,60,424,30,88,31,39,39,40,42,51,36,25,29,29,65,30,144,28,34,45,62,73,17,34,26,28,40,17,36,33,24,64,46,38,24,10,13,32,23,38,23,18
"lot",90,77,24,16,94,34,52,51,18,30,255,41,15,26,37,24,23,23,13,20,17,24,27,23,50,18,18,23,17,28,13,22,16,9,9,8,25,16,11,10,9,20,10,19,18,20,14,16,17,21
"planet",225,185,65,33,137,76,126,152,55,88,41,531,45,64,62,51,58,66,53,39,47,49,84,26,142,52,39,54,90,81,38,39,35,32,46,30,35,39,39,73,54,59,32,16,34,44,26,43,35,37
"heat",103,85,18,8,45,20,68,70,25,31,15,45,252,37,36,19,29,63,39,26,23,12,42,11,78,26,23,17,29,35,11,22,22,19,37,10,15,15,4,23,22,37,10,7,16,16,12,21,14,16
"water",140,106,42,17,82,42,89,94,27,39,26,64,37,362,63,37,48,50,50,46,48,23,78,23,88,43,15,35,54,52,25,31,54,23,34,8,44,20,19,33,34,45,19,20,24,29,18,23,19,33
"energy",173,146,49,34,118,50,80,77,41,39,37,62,36,63,439,97,62,43,38,50,25,45,36,20,92,45,35,46,49,57,22,75,26,20,37,27,72,25,54,31,20,35,17,96,73,77,20,48,26,81
"fossil",153,137,29,13,92,41,78,84,39,40,24,51,19,37,97,373,38,37,44,31,27,23,38,18,71,35,41,53,33,37,13,34,23,17,22,33,59,19,43,33,26,39,27,41,43,276,16,34,16,42
"carbon",163,134,46,24,89,55,83,75,43,42,23,58,29,48,62,38,389,90,50,49,43,29,43,19,81,62,30,43,53,49,29,50,21,23,26,21,44,16,26,32,30,34,19,20,28,31,14,75,24,29
"atmosphere",157,116,36,13,56,52,86,106,54,51,23,66,63,50,43,37,90,305,79,51,44,16,59,22,106,45,21,47,49,52,24,31,23,21,39,13,19,24,11,52,35,57,15,11,18,33,18,37,17,31
"greenhouse",124,100,25,10,44,45,76,83,40,36,13,53,39,50,38,44,50,79,269,84,35,11,41,22,80,32,23,52,29,35,14,20,24,12,30,20,21,23,14,31,26,46,13,9,15,34,15,41,14,20
"gas",105,82,29,15,59,33,60,63,47,25,20,39,26,46,50,31,49,51,84,252,37,18,32,13,55,23,20,29,33,29,16,34,24,17,18,16,63,18,26,21,21,35,12,20,25,23,15,46,13,23
"levels",127,97,40,22,56,48,73,78,34,29,17,47,23,48,25,27,43,44,35,37,249,13,82,13,76,42,23,38,43,49,29,23,114,20,25,12,31,16,15,27,42,45,18,11,18,19,22,23,26,13
"money",165,150,52,36,141,48,89,82,13,29,24,49,12,23,45,23,29,16,11,18,13,400,28,25,66,21,22,48,34,36,16,27,15,18,14,32,39,25,45,22,20,22,24,9,41,22,13,10,15,14
"ice",248,187,58,25,90,67,164,188,53,65,27,84,42,78,36,38,43,59,41,32,82,28,504,33,146,30,34,75,43,104,44,33,91,31,46,20,41,28,20,37,269,71,27,13,22,30,29,19,31,29
"wrong",127,103,31,12,74,58,72,73,18,30,23,26,11,23,20,18,19,22,22,13,13,25,33,306,50,16,27,51,14,34,24,17,18,17,10,19,23,31,14,17,21,26,13,7,11,16,20,15,28,6
"earth",366,317,105,42,179,110,208,249,87,144,50,142,78,88,92,71,81,106,80,55,76,66,146,50,876,69,63,84,117,132,40,59,55,49,89,28,52,44,38,76,95,96,41,28,36,58,34,45,41,45
"plants",84,68,31,13,54,24,51,59,34,28,18,52,26,43,45,35,62,45,32,23,42,21,30,16,69,254,17,18,44,41,14,33,23,12,24,6,20,12,8,25,17,20,11,37,42,27,11,23,18,29
"video",238,209,49,23,115,81,109,111,28,34,18,39,23,15,35,41,30,21,23,20,23,22,34,27,63,17,675,49,24,58,25,40,22,21,15,54,46,32,28,34,24,13,43,10,18,29,36,33,28,13
"scientists",278,208,73,33,113,108,124,127,35,45,23,54,17,35,46,53,43,47,52,29,38,48,75,51,84,18,49,471,25,64,49,33,28,33,22,60,52,58,28,40,45,57,33,9,19,40,51,27,34,21
"life",145,120,56,22,92,46,75,85,33,62,17,90,29,54,49,33,53,49,29,33,43,34,43,14,117,44,24,25,337,65,12,33,32,21,17,10,35,31,26,55,32,26,24,11,25,21,18,29,25,25
"time",219,179,66,30,134,74,120,134,45,73,28,81,35,52,57,37,49,52,35,29,49,36,104,34,132,41,58,64,65,529,42,41,38,38,38,32,46,37,26,52,75,58,26,22,37,28,29,38,31,36
"data",126,94,39,17,56,66,60,76,17,17,13,38,11,25,22,13,29,24,14,16,29,16,44,24,40,14,25,49,12,42,229,25,18,28,11,14,25,40,10,20,25,38,19,5,11,12,34,13,19,12
