"comment_author","comment_date","comment_text"
"Mansi Dasgupta","2023-02-16T07:06:45Z","Turn.   Your.   Cold.  Season.  Into.  Hot.   By.  Hot.  Spring.  In. Sea.  For. Safty.  By.  Hot.  Gas."
"5rings16","2023-02-16T07:05:50Z","I question whether the earths temperature has even changed!"
"CrystalAbrahams","2023-02-16T01:28:44Z","This was posted a year ago ~ and everything has gotten much worse already."
"Joy chardonnay Roberts","2023-02-16T00:36:48Z","Global warming is a myth"
"Robzino Argento-Dananinan","2023-02-16T00:06:14Z","I don't agree with those so called global warming theory. What's distroying the nature are, all those  agricultrural tycoons use insect killers which kills all bees and other insects who cross breed plant, distroying the forests for lamber use etc, the acual polution is mankind distroying the earth, then tycoons come up with the global warming. Infact, in fact, even if the whole world swich to renewble energy, poeple still need fossel fuel to extract plastic, and substances to use,for pharmaceutical manufacture."
"NYYUUUKAAAH","2023-02-15T14:16:41Z","One year later no progress is made!!!!!"
"Don Kloos","2023-02-14T13:56:33Z","CO2 absorption of  terrestrial IR occurs at 15um wavelenth and follows ""Beers Law"" - college chemistry basics. The absorption is maximized, 99.9%, in under 10m from the earth's surface at CO2 concentration of just 200ppm or less.  Increasing CO2 does not increase absorption further, so there is no increase in IR energy absorption from the earth's surface with CO2 doubling. This is basic college chemistry and physics of the issue. The truth is that CO2 increase does not further add to the greenhouse effect  than it already does. There is a great series of short 4min lectures on YouTube about the details by Michel van Biezen."
"Pieter-Jan Catteeuw","2023-02-13T18:58:37Z","Thank you for this documentary! 🙏💜"
"1Skeptik1","2023-02-13T02:40:35Z","There are ancient cities submerged in hundreds of feet of water all over the globe. Also, note that the Florida Keys and the Maldives are mostly coral and coral forms ONLY underwater.  Experts tell us the Saraha was green only 6,000 years ago and most of Florida was under water countless times.  Conclusion?  Climate change always has and always will.  I have no reason to conclude this present moment is the optimum for flora or fauna. I am far more concerned about vulcanism or an asteroid strike."
"FuckOffShitTube","2023-02-11T19:52:53Z","Well that hasn't happened so no one has a clue but it would be because of NATURAL causes."
"Peter S","2023-02-11T19:46:17Z","Never heard the words ""could"", ""would"", ""might"" and ""may"" so frequently before."
